iter	Passed	Remaining
424	1971	2667
425	1977	2664
426	1982	2660
427	1987	2656
428	1992	2652
429	1997	2647
430	2001	2643
431	2006	2638
432	2011	2634
433	2016	2629
434	2021	2625
435	2026	2620
436	2030	2616
437	2035	2612
438	2040	2607
439	2045	2603
440	2050	2598
441	2054	2594
442	2060	2590
443	2065	2586
444	2069	2581
445	2074	2577
446	2079	2572
447	2084	2568
448	2089	2563
449	2093	2559
450	2098	2554
451	2103	2549
452	2108	2546
453	2113	2542
454	2119	2538
455	2124	2534
456	2129	2530
457	2135	2526
458	2140	2523
459	2146	2519
460	2151	2515
461	2156	2511
462	2162	2507
463	2167	2503
464	2172	2499
465	2177	2495
466	2182	2491
467	2187	2487
468	2193	2482
469	2197	2478
470	2203	2474
471	2208	2470
472	2212	2465
473	2217	2461
474	2223	2457
475	2228	2452
476	2233	2448
477	2238	2444
478	2243	2440
479	2248	2435
480	2253	2431
481	2257	2426
482	2262	2421
483	2267	2417
484	2272	2413
485	2277	2408
486	2281	2403
487	2286	2398
488	2291	2394
489	2295	2389
490	2300	2384
491	2305	2380
492	2310	2375
493	2314	2371
494	2319	2366
495	2324	2362
496	2329	2357
497	2334	2352
498	2338	2348
499	2343	2343
500	2348	2339
501	2353	2335
502	2358	2330
503	2363	2325
504	2368	2321
505	2373	2317
506	2378	2312
507	2383	2308
508	2388	2303
509	2392	2299
510	2398	2294
511	2402	2290
512	2407	2285
513	2411	2280
514	2417	2276
515	2421	2271
516	2426	2266
517	2431	2262
518	2436	2258
519	2441	2253
520	2445	2248
521	2450	2244
522	2455	2239
523	2460	2234
524	2465	2230
525	2469	2225
526	2474	2220
527	2479	2216
528	2483	2211
529	2488	2206
530	2493	2201
531	2497	2197
532	2502	2192
533	2507	2188
534	2512	2184
535	2517	2179
536	2522	2174
537	2526	2169
538	2531	2165
539	2535	2160
540	2540	2155
541	2546	2151
542	2550	2146
543	2555	2142
544	2560	2137
545	2564	2132
546	2569	2128
547	2574	2123
548	2579	2118
549	2583	2114
550	2588	2109
551	2593	2105
552	2598	2100
553	2602	2095
554	2607	2090
555	2612	2086
556	2617	2081
557	2621	2076
558	2626	2072
559	2631	2067
560	2635	2062
561	2640	2058
562	2645	2053
563	2649	2048
564	2654	2043
565	2659	2039
566	2664	2034
567	2668	2029
568	2673	2025
569	2678	2020
570	2682	2015
571	2687	2010
572	2692	2006
573	2696	2001
574	2701	1996
575	2706	1992
576	2711	1987
577	2715	1982
578	2720	1977
579	2725	1973
580	2729	1968
581	2734	1963
582	2739	1959
583	2744	1954
584	2749	1950
585	2754	1945
586	2759	1941
587	2763	1936
588	2768	1932
589	2774	1928
590	2779	1923
591	2784	1918
592	2789	1914
593	2794	1909
594	2798	1905
595	2803	1900
596	2808	1895
597	2813	1891
598	2817	1886
599	2822	1881
600	2827	1877
601	2832	1872
602	2837	1868
603	2842	1863
604	2847	1858
605	2852	1854
606	2856	1849
607	2861	1844
608	2866	1840
609	2871	1835
610	2875	1831
611	2880	1826
612	2885	1821
613	2890	1817
614	2895	1812
615	2900	1808
616	2904	1803
617	2909	1798
618	2914	1794
619	2921	1790
620	2926	1786
621	2931	1781
622	2936	1777
623	2941	1772
624	2946	1767
625	2951	1763
626	2956	1758
627	2961	1754
628	2966	1749
629	2971	1745
630	2975	1740
631	2980	1735
632	2985	1730
633	2989	1726
634	2994	1721
635	2999	1716
636	3004	1712
637	3009	1707
638	3014	1703
639	3019	1698
640	3023	1693
641	3028	1688
642	3033	1684
643	3038	1679
644	3043	1674
645	3048	1670
646	3052	1665
647	3057	1661
648	3062	1656
649	3067	1651
650	3072	1646
651	3076	1642
652	3081	1637
653	3086	1632
654	3091	1628
655	3096	1623
656	3100	1618
657	3105	1614
658	3110	1609
659	3115	1604
660	3120	1600
661	3124	1595
662	3129	1590
663	3134	1586
664	3139	1581
665	3144	1576
666	3149	1572
667	3153	1567
668	3159	1562
669	3164	1558
670	3169	1553
671	3173	1549
672	3179	1544
673	3184	1540
674	3188	1535
675	3193	1530
676	3198	1526
677	3203	1521
678	3207	1516
679	3212	1511
680	3217	1507
681	3221	1502
682	3227	1497
683	3232	1493
684	3237	1488
685	3242	1484
686	3247	1479
687	3251	1474
688	3256	1469
689	3261	1465
690	3266	1460
691	3270	1455
692	3275	1451
693	3280	1446
694	3285	1441
695	3290	1437
696	3294	1432
697	3299	1427
698	3304	1423
699	3309	1418
700	3314	1413
701	3319	1409
702	3325	1404
703	3329	1400
704	3334	1395
705	3339	1390
706	3344	1385
707	3348	1381
708	3353	1376
709	3358	1371
710	3363	1367
711	3368	1362
712	3373	1357
713	3378	1353
714	3384	1348
715	3390	1344
716	3394	1339
717	3400	1335
718	3405	1331
719	3410	1326
720	3416	1321
721	3421	1317
722	3426	1312
723	3431	1308
724	3437	1303
725	3442	1299
726	3447	1294
727	3452	1290
728	3458	1285
729	3463	1280
730	3468	1276
731	3473	1271
732	3478	1267
733	3483	1262
734	3488	1257
735	3493	1253
736	3498	1248
737	3503	1243
738	3508	1239
739	3512	1234
740	3518	1229
741	3522	1224
742	3527	1220
743	3532	1215
744	3537	1210
745	3542	1206
746	3546	1201
747	3552	1196
748	3557	1192
749	3562	1187
750	3567	1182
751	3572	1178
752	3576	1173
753	3581	1168
754	3586	1163
755	3591	1159
756	3596	1154
757	3601	1149
758	3606	1145
759	3611	1140
760	3616	1135
761	3621	1131
762	3625	1126
763	3631	1121
764	3635	1116
765	3640	1112
766	3645	1107
767	3650	1102
768	3655	1097
769	3659	1093
770	3664	1088
771	3669	1083
772	3673	1078
773	3678	1074
774	3683	1069
775	3688	1064
776	3692	1059
777	3697	1055
778	3702	1050
779	3707	1045
780	3712	1041
781	3717	1036
